crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_name,cross_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,collision_id,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5
2023-11-08,11:15,QUEENS,11237,,,,LINDEN BOULEVARD,HYLAN BOULEVARD,,3,0,1,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unsafe Speed,,,4000764,Box Truck,Station Wagon/Sport Utility Vehicle,,,
2023-09-14,17:45,,,,,,HYLAN BOULEVARD,BOSTON ROAD,PARKING LOT,0,0,0,0,0,0,0,0,Turning Improperly,Unsafe Speed,,,,4000033,Sedan,Sedan,,,
2023-11-09,17:00,BRONX,,40.611418,-73.990373,POINT (-73.990373 40.611418),HYLAN BOULEVARD,,,1,0,0,0,0,0,0,0,Unspecified,Failure to Yield Right-of-Way,,,,4002373,Pick-up Truck,Unknown,,,
2023-10-24,17:15,BRONX,,40.864649,-73.806971,POINT (-73.806971 40.864649),BELT PARKWAY,CANAL STREET,,1,0,0,0,0,0,0,0,Traffic Control Disregarded,Backing Unsafely,Driver Inattention/Distraction,,,4002970,Sedan,Bike,,,
2023-02-16,03:00,MANHATTAN,10478,40.77825,-74.029126,POINT (-74.029126 40.77825),,,,1,0,2,0,1,0,0,0,Failure to Yield Right-of-Way,Unsafe Speed,,,,4001773,Station Wagon/Sport Utility Vehicle,Box Truck,,,
2023-11-19,23:00,BRONX,,40.875604,-73.893849,POINT (-73.893849 40.875604),FLATBUSH AVENUE,BOSTON ROAD,,1,1,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,4000683,Sedan,TAXI,,,
2023-02-05,13:45,BROOKLYN,10261,40.883215,-74.143206,POINT (-74.143206 40.883215),GRAND CONCOURSE,LINDEN BOULEVARD,,1,0,0,0,0,0,0,0,,Failure to Yield Right-of-Way,,,,4003779,Unknown,Station Wagon/Sport Utility Vehicle,,,
2023-12-21,21:30,QUEENS,10875,40.768288,-73.742518,POINT (-73.742518 40.768288),,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Following Too Closely,,,,4000254,E-Bike,Sedan,,,
2023-04-15,23:45,QUEENS,11100,40.637736,-73.900177,POINT (-73.900177 40.637736),QUEENS BOULEVARD,,,1,0,0,0,0,0,0,0,Unsafe Speed,Failure to Yield Right-of-Way,,,,4002722,Station Wagon/Sport Utility Vehicle,Pick-up Truck,Box Truck,,
2023-08-31,13:00,,,,,,LINDEN BOULEVARD,CANAL STREET,,0,0,0,0,0,0,0,0,Unsafe Speed,,Unspecified,,,4003755,Bike,E-Bike,,,
2023-09-13,01:45,STATEN ISLAND,11083,40.855746,-73.849546,POINT (-73.849546 40.855746),FLATBUSH AVENUE,HYLAN BOULEVARD,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,,,,,4004535,Van,Station Wagon/Sport Utility Vehicle,,,
2023-04-27,01:00,BROOKLYN,10516,40.552023,-74.005144,POINT (-74.005144 40.552023),HYLAN BOULEVARD,BROADWAY,,1,0,0,0,0,0,0,0,Driver Inattention/Distraction,Backing Unsafely,,,,4003733,Pick-up Truck,Bike,Unknown,,
2023-06-17,22:45,QUEENS,10892,40.893766,-73.838898,POINT (-73.838898 40.893766),LINDEN BOULEVARD,BELT PARKWAY,,4,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,,,,4001777,,Sedan,,,
2023-10-26,10:45,BRONX,11441,40.788428,-74.013903,POINT (-74.013903 40.788428),CANAL STREET,,PARKING LOT,3,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4001615,Pick-up Truck,Sedan,,,
2023-09-26,04:15,BROOKLYN,10338,40.712443,-74.129133,POINT (-74.129133 40.712443),BELT PARKWAY,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4003653,Box Truck,Pick-up Truck,,,
2023-06-28,07:30,QUEENS,11271,40.718103,-73.813298,POINT (-73.813298 40.718103),LINDEN BOULEVARD,,,0,0,0,0,0,0,0,0,Unsafe Speed,,Passing or Lane Usage Improper,,,4004558,,,,,
2023-11-11,22:30,MANHATTAN,10419,40.773093,-74.172165,POINT (-74.172165 40.773093),FLATBUSH AVENUE,,PARKING LOT,0,0,0,0,0,0,0,0,,,,,,4000497,Van,Motorcycle,Station Wagon/Sport Utility Vehicle,,
2023-10-19,17:15,MANHATTAN,10887,40.780988,-73.723712,POINT (-73.723712 40.780988),BROADWAY,HYLAN BOULEVARD,,1,0,0,0,0,0,0,0,Unspecified,Driver Inattention/Distraction,,,,4004994,Motorcycle,Bike,,,
2023-12-15,10:45,QUEENS,10199,40.906824,-73.847442,POINT (-73.847442 40.906824),CANAL STREET,CANAL STREET,,1,0,0,0,0,0,0,0,,Traffic Control Disregarded,,,,4000996,TAXI,Station Wagon/Sport Utility Vehicle,,,
2023-07-27,08:00,STATEN ISLAND,11681,40.682627,-74.01889,POINT (-74.01889 40.682627),BROADWAY,JEROME AVENUE,,3,0,0,0,0,0,0,0,Following Too Closely,Backing Unsafely,,,,4003742,Sedan,Sedan,Bus,,
2023-11-19,22:45,BROOKLYN,11214,40.53617,-74.034446,POINT (-74.034446 40.53617),,JEROME AVENUE,,1,0,1,0,0,0,0,0,,Unspecified,,,,4000240,Station Wagon/Sport Utility Vehicle,Sedan,,,
2023-06-14,22:15,QUEENS,11014,40.520789,-74.06743,POINT (-74.06743 40.520789),QUEENS BOULEVARD,FLATBUSH AVENUE,,1,0,0,0,0,0,0,0,Traffic Control Disregarded,Driver Inattention/Distraction,,,,4004547,Sedan,Sedan,,,
2023-12-30,19:45,,,,,,LINDEN BOULEVARD,,,3,0,0,0,0,0,1,0,Unspecified,,,,,4002181,Station Wagon/Sport Utility Vehicle,,,,
2023-01-14,22:00,BROOKLYN,10372,40.785016,-74.217597,POINT (-74.217597 40.785016),ATLANTIC AVENUE,,,0,0,0,0,0,0,0,0,Pavement Slippery,Failure to Yield Right-of-Way,,,,4000333,,,,,
2023-04-13,22:00,BROOKLYN,11153,40.598492,-73.91055,POINT (-73.91055 40.598492),FLATBUSH AVENUE,HYLAN BOULEVARD,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Passing or Lane Usage Improper,,,,4002895,TAXI,Bike,,,
2023-05-18,07:30,QUEENS,11381,,,,FLATBUSH AVENUE,GRAND CONCOURSE,,0,0,0,0,0,0,0,0,Turning Improperly,,,,,4002942,Van,,,,
2023-03-11,04:00,QUEENS,11121,40.553107,-74.210498,POINT (-74.210498 40.553107),HYLAN BOULEVARD,CANAL STREET,,0,0,0,0,0,0,0,0,Unknown,Pavement Slippery,,,,4001272,Sedan,Station Wagon/Sport Utility Vehicle,,,
2023-01-13,05:30,STATEN ISLAND,11650,40.641271,-74.07664,POINT (-74.07664 40.641271),NORTHERN BOULEVARD,ATLANTIC AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,Failure to Yield Right-of-Way,,,,4003862,Box Truck,Sedan,,,
2023-01-02,07:45,BRONX,10223,40.729554,-74.210607,POINT (-74.210607 40.729554),QUEENS BOULEVARD,GRAND CONCOURSE,,1,0,0,0,0,0,0,0,Unknown,Unspecified,,,,4001919,Sedan,Sedan,E-Bike,,
2023-09-01,14:30,QUEENS,10863,40.898538,-74.086927,POINT (-74.086927 40.898538),NORTHERN BOULEVARD,BOSTON ROAD,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,,Traffic Control Disregarded,,,4000555,TAXI,,Bus,,
2023-08-13,15:15,MANHATTAN,10287,40.646349,-73.960583,POINT (-73.960583 40.646349),BELT PARKWAY,GRAND CONCOURSE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Driver Inattention/Distraction,,,,4001965,Box Truck,Bus,Bus,,
2023-09-01,12:15,MANHATTAN,10733,40.527374,-74.105473,POINT (-74.105473 40.527374),ATLANTIC AVENUE,BROADWAY,,2,0,0,0,0,0,0,0,Following Too Closely,,,,,4000624,Station Wagon/Sport Utility Vehicle,Sedan,,,
2023-10-18,12:30,QUEENS,10721,,,,FLATBUSH AVENUE,QUEENS BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,,,,,4003127,Sedan,,,,
2023-09-14,12:45,BROOKLYN,10210,,,,ATLANTIC AVENUE,,,0,0,0,0,0,0,0,0,Unsafe Speed,,,,,4000491,Van,,,,
2023-10-01,00:45,MANHATTAN,11275,40.804156,-73.787722,POINT (-73.787722 40.804156),BELT PARKWAY,,,1,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Following Too Closely,,,,4000023,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2023-02-09,16:45,BRONX,10617,40.816566,-73.93544,POINT (-73.93544 40.816566),ATLANTIC AVENUE,HYLAN BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,,,,,4004792,Sedan,Pick-up Truck,,,
2023-09-29,02:15,QUEENS,10650,40.796623,-74.054755,POINT (-74.054755 40.796623),GRAND CONCOURSE,ATLANTIC AVENUE,,3,0,1,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4000501,Van,TAXI,,,
2023-10-26,01:15,BROOKLYN,10591,40.885691,-73.966767,POINT (-73.966767 40.885691),GRAND CONCOURSE,,,0,0,0,0,0,0,0,0,Pavement Slippery,Failure to Yield Right-of-Way,Backing Unsafely,,,4001405,TAXI,Unknown,,,
2023-03-18,17:00,QUEENS,11300,40.634124,-74.084296,POINT (-74.084296 40.634124),BROADWAY,CANAL STREET,,4,0,0,0,0,0,0,0,Following Too Closely,,Pavement Slippery,,,4001921,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2023-11-15,17:00,BROOKLYN,10032,,,,ATLANTIC AVENUE,NORTHERN BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Turning Improperly,,,4000239,Sedan,Sedan,,,
2023-03-14,03:00,BRONX,11025,,,,ATLANTIC AVENUE,LINDEN BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4004641,Van,TAXI,,,
2023-05-02,06:45,MANHATTAN,,40.660246,-74.048715,POINT (-74.048715 40.660246),FLATBUSH AVENUE,NORTHERN BOULEVARD,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4004011,Sedan,,,,
2023-08-20,02:30,QUEENS,10455,40.759893,-73.941827,POINT (-73.941827 40.759893),BOSTON ROAD,HYLAN BOULEVARD,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Pavement Slippery,,,,4002098,Station Wagon/Sport Utility Vehicle,TAXI,,,
2023-12-03,08:45,BROOKLYN,10298,40.563291,-73.723531,POINT (-73.723531 40.563291),ATLANTIC AVENUE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Turning Improperly,,,,4002226,TAXI,TAXI,,,
2023-11-27,03:30,BRONX,10541,40.756525,-73.901483,POINT (-73.901483 40.756525),,,,1,0,1,0,1,0,0,0,Backing Unsafely,Driver Inattention/Distraction,,,,4001870,Sedan,Motorcycle,TAXI,,
2023-10-26,18:00,STATEN ISLAND,10650,40.84879,-74.159379,POINT (-74.159379 40.84879),ATLANTIC AVENUE,BOSTON ROAD,,1,0,1,0,0,0,0,0,,Failure to Yield Right-of-Way,,,,4001338,Sedan,Station Wagon/Sport Utility Vehicle,,,
2023-02-04,06:45,STATEN ISLAND,,40.788642,-74.001646,POINT (-74.001646 40.788642),QUEENS BOULEVARD,HYLAN BOULEVARD,,1,0,0,0,0,0,0,0,Driver Inattention/Distraction,Turning Improperly,,,,4003323,Van,Bus,,,
2023-10-16,18:00,BRONX,10690,40.599815,-74.223499,POINT (-74.223499 40.599815),,BOSTON ROAD,,1,0,0,0,0,0,0,0,Backing Unsafely,Passing or Lane Usage Improper,Traffic Control Disregarded,,,4002394,Station Wagon/Sport Utility Vehicle,Sedan,,,
2023-04-20,20:30,BRONX,10335,,,,,CANAL STREET,,1,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,4002414,Station Wagon/Sport Utility Vehicle,Van,,,
2023-11-28,21:00,BRONX,11461,40.741632,-73.759342,POINT (-73.759342 40.741632),CANAL STREET,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4004538,Bus,Bike,,,
2023-12-04,22:45,QUEENS,10584,40.732157,-74.160539,POINT (-74.160539 40.732157),ATLANTIC AVENUE,FLATBUSH AVENUE,,1,0,1,0,1,0,0,0,Unspecified,,,,,4000429,Sedan,,,,
2023-06-06,17:15,QUEENS,10980,40.694296,-74.130407,POINT (-74.130407 40.694296),CANAL STREET,CANAL STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,4004254,Station Wagon/Sport Utility Vehicle,,E-Bike,,
2023-01-10,13:15,BROOKLYN,10403,40.555116,-73.820988,POINT (-73.820988 40.555116),QUEENS BOULEVARD,BOSTON ROAD,,1,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4003704,Sedan,,TAXI,,
2023-12-16,10:00,BRONX,10197,40.797188,-74.009576,POINT (-74.009576 40.797188),BROADWAY,LINDEN BOULEVARD,,2,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Passing or Lane Usage Improper,,,,4004096,TAXI,Sedan,,,
2023-08-15,20:15,,,,,,HYLAN BOULEVARD,FLATBUSH AVENUE,,3,1,0,0,0,0,0,1,Unsafe Speed,Turning Improperly,,,,4000422,Station Wagon/Sport Utility Vehicle,TAXI,Pick-up Truck,,
2023-08-13,22:00,,,,,,JEROME AVENUE,,,0,0,0,0,0,0,0,0,Unsafe Speed,Driver Inattention/Distraction,,,,4003727,Sedan,Sedan,Bus,,
2023-03-11,21:15,MANHATTAN,10469,40.725395,-73.9061,POINT (-73.9061 40.725395),BELT PARKWAY,ATLANTIC AVENUE,,0,0,0,0,0,0,0,0,Unknown,Turning Improperly,,,,4000803,Van,Unknown,,,
2023-01-11,09:30,BROOKLYN,10675,40.902355,-74.021426,POINT (-74.021426 40.902355),ATLANTIC AVENUE,BROADWAY,,0,0,0,0,0,0,0,0,Turning Improperly,,,,,4004168,Sedan,,,,
2023-08-26,16:00,BRONX,11080,40.646108,-74.033429,POINT (-74.033429 40.646108),FLATBUSH AVENUE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,Backing Unsafely,,,4001751,Station Wagon/Sport Utility Vehicle,,,,
2023-10-01,17:00,QUEENS,11505,40.695436,-73.766959,POINT (-73.766959 40.695436),FLATBUSH AVENUE,,,0,0,0,0,0,0,0,0,Turning Improperly,Pavement Slippery,Unsafe Speed,,,4001813,Sedan,Sedan,,,
2023-12-25,14:45,STATEN ISLAND,10344,40.83023,-73.91003,POINT (-73.91003 40.83023),QUEENS BOULEVARD,HYLAN BOULEVARD,,0,0,0,0,0,0,0,0,,Passing or Lane Usage Improper,,,,4002077,Motorcycle,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,
2023-08-15,12:15,BROOKLYN,10339,,,,BELT PARKWAY,NORTHERN BOULEVARD,,0,0,0,0,0,0,0,0,Unsafe Speed,,Passing or Lane Usage Improper,,,4001554,Motorcycle,,Box Truck,,
2023-11-14,12:15,BROOKLYN,10806,40.820911,-73.929019,POINT (-73.929019 40.820911),FLATBUSH AVENUE,QUEENS BOULEVARD,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Failure to Yield Right-of-Way,,,,4004237,Van,Sedan,,,
2023-08-15,23:00,QUEENS,10543,40.661705,-74.107394,POINT (-74.107394 40.661705),HYLAN BOULEVARD,FLATBUSH AVENUE,PARKING LOT,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4001417,Motorcycle,Motorcycle,,,
2023-02-21,17:45,QUEENS,11543,40.5019,-74.246642,POINT (-74.246642 40.5019),FLATBUSH AVENUE,,,0,0,0,0,0,0,0,0,Backing Unsafely,Traffic Control Disregarded,,,,4002916,Sedan,Box Truck,,,
2023-02-21,03:30,MANHATTAN,11696,,,,JEROME AVENUE,,,1,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4003630,Bike,Pick-up Truck,,,
2023-03-03,00:30,QUEENS,10461,40.852349,-73.894439,POINT (-73.894439 40.852349),BROADWAY,HYLAN BOULEVARD,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Failure to Yield Right-of-Way,,,,4004001,Bus,Sedan,Van,,
2023-06-12,23:30,MANHATTAN,10475,40.799484,-73.963634,POINT (-73.963634 40.799484),CANAL STREET,,,1,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4002951,Sedan,,,,
2023-02-18,22:45,MANHATTAN,10477,40.820445,-73.833884,POINT (-73.833884 40.820445),QUEENS BOULEVARD,NORTHERN BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Backing Unsafely,,,,4002053,Sedan,Sedan,,,
2023-09-28,06:15,QUEENS,11348,,,,,,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,,,,4001879,TAXI,Van,Sedan,,
2023-09-16,16:15,BROOKLYN,10955,40.558914,-74.03502,POINT (-74.03502 40.558914),BOSTON ROAD,GRAND CONCOURSE,,1,0,1,0,0,0,1,0,,,,,,4003802,Van,Box Truck,E-Bike,,
2023-01-28,17:15,BROOKLYN,10814,40.816155,-74.195794,POINT (-74.195794 40.816155),JEROME AVENUE,BOSTON ROAD,,0,0,0,0,0,0,0,0,Backing Unsafely,Unsafe Speed,,,,4000733,,Motorcycle,,,
2023-08-24,06:00,BROOKLYN,,,,,BROADWAY,QUEENS BOULEVARD,,2,0,0,0,0,0,0,0,Unknown,Unspecified,Following Too Closely,,,4000927,Station Wagon/Sport Utility Vehicle,Box Truck,,,
2023-02-20,09:30,MANHATTAN,11097,,,,QUEENS BOULEVARD,LINDEN BOULEVARD,,0,0,0,0,0,0,0,0,,Following Too Closely,,,,4003132,Sedan,Sedan,,,
2023-06-30,07:45,BROOKLYN,11260,40.601614,-74.171033,POINT (-74.171033 40.601614),JEROME AVENUE,,,0,0,0,0,0,0,0,0,Following Too Closely,,Traffic Control Disregarded,,,4000065,TAXI,Bike,,,
2023-06-02,07:00,BROOKLYN,10927,40.675106,-73.88828,POINT (-73.88828 40.675106),CANAL STREET,JEROME AVENUE,,1,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,,,,4003097,Sedan,Pick-up Truck,,,
2023-04-05,09:45,MANHATTAN,11526,40.69638,-73.76826,POINT (-73.76826 40.69638),,BELT PARKWAY,,1,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4002847,Station Wagon/Sport Utility Vehicle,Sedan,,,
2023-07-18,17:45,,,,,,BOSTON ROAD,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4002317,Station Wagon/Sport Utility Vehicle,Unknown,,,
2023-02-22,12:00,,,,,,HYLAN BOULEVARD,BELT PARKWAY,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,4001322,Sedan,Station Wagon/Sport Utility Vehicle,Bike,,
2023-11-23,12:30,BROOKLYN,11684,40.61284,-73.798365,POINT (-73.798365 40.61284),,ATLANTIC AVENUE,,1,0,0,0,0,0,1,0,Pavement Slippery,Unsafe Speed,Driver Inattention/Distraction,,,4001532,Bus,Motorcycle,Van,,
2023-02-28,00:30,STATEN ISLAND,10841,40.586346,-73.772959,POINT (-73.772959 40.586346),BELT PARKWAY,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Failure to Yield Right-of-Way,,,,4000952,Sedan,Station Wagon/Sport Utility Vehicle,Bus,,
2023-02-14,13:00,BROOKLYN,11259,,,,LINDEN BOULEVARD,BELT PARKWAY,,2,0,0,0,1,0,0,0,Backing Unsafely,Driver Inattention/Distraction,,,,4004353,Pick-up Truck,Sedan,,,
2023-06-09,06:00,BROOKLYN,10982,40.507293,-73.961881,POINT (-73.961881 40.507293),GRAND CONCOURSE,,,4,0,2,0,0,0,0,0,Backing Unsafely,Failure to Yield Right-of-Way,,,,4004043,Van,Station Wagon/Sport Utility Vehicle,TAXI,,
2023-09-14,08:30,,,,,,GRAND CONCOURSE,BELT PARKWAY,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Backing Unsafely,Traffic Control Disregarded,,,4003666,Sedan,TAXI,,,
2023-10-01,13:15,STATEN ISLAND,11277,40.632529,-73.789003,POINT (-73.789003 40.632529),BROADWAY,FLATBUSH AVENUE,,2,0,0,0,0,0,0,0,Following Too Closely,Failure to Yield Right-of-Way,,,,4001168,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
2023-01-07,09:00,BRONX,11424,40.672839,-74.064465,POINT (-74.064465 40.672839),ATLANTIC AVENUE,HYLAN BOULEVARD,,0,0,0,0,0,0,0,0,Turning Improperly,,,,,4000416,TAXI,,,,
2023-03-29,13:00,BROOKLYN,,40.85484,-73.758549,POINT (-73.758549 40.85484),LINDEN BOULEVARD,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Following Too Closely,,,,4001732,TAXI,Sedan,E-Bike,,
2023-05-13,09:00,QUEENS,10580,40.798721,-73.980906,POINT (-73.980906 40.798721),BELT PARKWAY,BELT PARKWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4003181,Box Truck,TAXI,,,
2023-06-26,14:45,BRONX,10834,40.710894,-74.104421,POINT (-74.104421 40.710894),,BELT PARKWAY,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Passing or Lane Usage Improper,Following Too Closely,,,4002182,Van,Sedan,,,
2023-10-23,13:45,QUEENS,10578,40.869787,-74.214721,POINT (-74.214721 40.869787),QUEENS BOULEVARD,,,3,0,0,0,0,0,0,0,Turning Improperly,Following Too Closely,,,,4001632,Van,,,,
2023-09-05,06:30,MANHATTAN,10829,40.625378,-74.025606,POINT (-74.025606 40.625378),QUEENS BOULEVARD,,,1,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unsafe Speed,,,4003427,Motorcycle,Pick-up Truck,,,
2023-10-01,23:00,QUEENS,10476,40.524848,-73.827201,POINT (-73.827201 40.524848),LINDEN BOULEVARD,ATLANTIC AVENUE,,2,0,1,0,0,0,1,0,Following Too Closely,Backing Unsafely,Unsafe Speed,,,4000084,,,,,
2023-11-05,02:15,BROOKLYN,10097,40.916301,-73.763152,POINT (-73.763152 40.916301),,QUEENS BOULEVARD,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Turning Improperly,,,,4002059,Sedan,,,,
2023-10-14,23:45,BROOKLYN,11148,40.753637,-73.790104,POINT (-73.790104 40.753637),GRAND CONCOURSE,BELT PARKWAY,PARKING LOT,2,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unsafe Speed,Unsafe Speed,,,4004533,Pick-up Truck,Sedan,,,
2023-02-23,11:00,BRONX,11078,40.80101,-73.899053,POINT (-73.899053 40.80101),BELT PARKWAY,BELT PARKWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Backing Unsafely,,,,4001432,Sedan,Unknown,,,
2023-08-25,15:45,STATEN ISLAND,11002,40.839132,-73.811359,POINT (-73.811359 40.839132),BELT PARKWAY,HYLAN BOULEVARD,,0,0,0,0,0,0,0,0,Following Too Closely,Traffic Control Disregarded,,,,4004870,Sedan,Sedan,,,
2023-03-20,14:30,MANHATTAN,10078,40.783155,-73.740691,POINT (-73.740691 40.783155),,BOSTON ROAD,,1,0,2,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4004654,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,,
2023-05-13,14:00,QUEENS,10250,,,,BOSTON ROAD,FLATBUSH AVENUE,,3,0,0,0,0,0,0,0,,Following Too Closely,,,,4001183,Sedan,Sedan,,,
2023-01-21,10:45,BROOKLYN,10077,40.595938,-73.89984,POINT (-73.89984 40.595938),BELT PARKWAY,QUEENS BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Failure to Yield Right-of-Way,,,,4002575,Sedan,TAXI,,,
2023-10-28,19:30,BROOKLYN,11216,40.814083,-74.058008,POINT (-74.058008 40.814083),FLATBUSH AVENUE,BELT PARKWAY,,0,0,0,0,0,0,0,0,,Failure to Yield Right-of-Way,,,,4003400,Sedan,TAXI,,,
